movie,opening_date,publication_date,url,mpaa_rating,critics_pick
11/8/2016,11/1/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/11-8-16-review.html,,0
1945,11/1/2017,10/31/2017,http://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html,,0
78/52,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/78-52-hitchcocks-shower-scene-review.html,,1
A Bad Moms Christmas,11/1/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/a-bad-moms-christmas.html,R,0
A Gay State,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/review-a-gray-state-behind-a-filmmakers-madness.html,,0
Aida's Secrets,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/aidas-secrets-review.html,,1
All I See Is You,10/27/2017,10/26/2017,http://www.nytimes.com/2017/10/26/movies/all-i-see-is-you-review-blake-lively.html,R,0
Along for the Ride,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/along-for-the-ride-review-dennis-hopper.html,,0
Bitch,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/bitch-review.html,,1
Blade of the Immortal,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/blade-of-the-immortal-review-takashi-miike.html,R,0
Breathe,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/breathe-review-andrew-garfield-claire-foy-andy-serkis.html,PG-13,0
Cook Off!,11/17/2017,11/16/2017,http://www.nytimes.com/2017/11/16/movies/review-cook-off-melissa-mccarthy.html,R,0
Daddy's Home 2,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/review-in-daddys-home-2-mel-gibson-will-ferrell-mark-wahlberg.html,PG-13,0
Dealt,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/dealt-review-richard-turner.html,,0
For Ahkeem,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/review-in-for-ahkeem-a-last-option-for-a-troubled-teenager.html,,0
Frank Serpico,11/1/2017,10/31/2017,http://www.nytimes.com/2017/10/31/movies/frank-serpico-review.html,,0
Geostorm,10/20/2017,10/20/2017,http://www.nytimes.com/2017/10/20/movies/geostorm-review-gerard-butler.html,PG-13,0
God's Own Country,10/25/2017,10/24/2017,http://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html,,1
Happy Death Day,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/happy-death-day-review.html,PG-13,0
Hello Again,11/8/2017,11/7/2017,http://www.nytimes.com/2017/11/07/movies/hello-again-review.html,,0
I Remember You,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/i-remember-you-review.html,,1
Intent to Destroy,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/intent-to-destroy-armenian-genocide-review.html,,0
It Happened in L.A.,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/it-happened-in-la-review.html,,0
Jim & Andy: The Great Beyond - Featuring a Very Special Contractually Obligated Mention of Tony Clifton,11/17/2017,11/16/2017,http://www.nytimes.com/2017/11/16/movies/review-jim-and-andy-jim-carrey.html,,1
Joan Didion: The Center Will Not Hold,10/27/2017,10/24/2017,http://www.nytimes.com/2017/10/24/movies/joan-didion-the-center-will-not-hold-review-griffin-dunne.html,,1
Jungle,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/jungle-review-daniel-radcliffe.html,R,0
Justice League,11/17/2017,11/15/2017,http://www.nytimes.com/2017/11/15/movies/justice-league-review-wonder-woman-batman-dc-comics.html,PG-13,0
L'enfant secret,10/18/2017,10/17/2017,http://www.nytimes.com/2017/10/17/movies/lenfant-secret-review-philippe-garrel.html,,0
Lady Bird,11/3/2017,10/31/2017,http://www.nytimes.com/2017/10/31/movies/lady-bird-review-greta-gerwig-saoirse-ronan.html,R,1
Last Flag Flying,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/last-flag-flying-review-steve-carell-bryan-cranston-laurence-fishburne-richard-linklater.html,R,0
LBJ,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/lbj-review-woody-harrelson-rob-reiner.html,R,0
Marshall,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/marshall-review-chadwick-boseman.html,PG-13,0
Maya Dardel,10/27/2017,10/26/2017,http://www.nytimes.com/2017/10/26/movies/maya-dardel-review-lena-olin.html,,0
Mayhem,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/mayhem-review-steven-yeun.html,Not Rated,0
Most Beautiful Island,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/most-beautiful-island-review.html,,1
Mudbound,11/17/2017,11/16/2017,http://www.nytimes.com/2017/11/16/movies/mudbound-review-dee-rees.html,R,1
Mully,10/27/2017,10/26/2017,http://www.nytimes.com/2017/10/26/movies/mully-review.html,,0
Murder on the Orient Express,11/10/2017,11/8/2017,http://www.nytimes.com/2017/11/08/movies/murder-on-the-orient-express-review-kenneth-branagh.html,PG-13,0
My Friend Dahmer,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/review-my-friend-dahmer-the-boy-who-became-a-cannibal.html,R,0
Never Here,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/never-here-review.html,R,0
No Dress Code Required,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/no-dress-code-required-review.html,,0
One of Us,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/one-of-us-review.html,,0
Only the Brave,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/only-the-brave-review-josh-brolin.html,PG-13,1
Professor Marston and the Wonder Women,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/professor-marston-and-the-wonder-woman-review.html,R,1
Song of Granite,11/15/2017,11/14/2017,http://www.nytimes.com/2017/11/14/movies/song-of-granite-review.html,,0
Suburbicon,10/27/2017,10/26/2017,http://www.nytimes.com/2017/10/26/movies/suburbicon-review-george-clooney-matt-damon-julianne-moore.html,R,0
Te Ata,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/te-ata-review.html,PG,0
Thank You for Your Service,10/27/2017,10/26/2017,http://www.nytimes.com/2017/10/26/movies/thank-you-for-your-service-review-miles-teller.html,R,0
The Breadwinner,11/17/2017,11/16/2017,http://www.nytimes.com/2017/11/16/movies/the-breadwinner-review.html,PG-13,1
The Departure,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/the-departure-review.html,,0
The Divine Order,10/27/2017,10/26/2017,http://www.nytimes.com/2017/10/26/movies/the-divine-order-review.html,,0
The Foreigner,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/the-foreigner-review-jackie-chan-pierce-brosnan.html,R,0
The Light of the Moon,11/1/2017,10/31/2017,http://www.nytimes.com/2017/10/31/movies/review-the-light-of-the-moon-and-the-trauma-of-rape.html,,0
The Meyerowitz Stories (New and Selected),10/13/2017,10/11/2017,http://www.nytimes.com/2017/10/11/movies/the-meyerowitz-stories-review-noah-baumbach.html,,1
The Snowman,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/the-snowman-review-michael-fassbender-jo-nesbo.html,R,0
Thor: Ragnarok,11/3/2017,11/1/2017,http://www.nytimes.com/2017/11/01/movies/thor-ragnarok-review-chris-hemsworth.html,PG-13,0
Three Billboards Outside Ebbing Missouri,11/10/2017,11/8/2017,http://www.nytimes.com/2017/11/08/movies/review-three-billboards-outside-ebbing-missouri-martin-mcdonagh.html,R,0
Thy Father's Chair,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/thy-fathers-chair-review.html,,1
Tragedy Girls,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/tragedy-girls-review.html,R,0
Tyler Perry's Boo 2! A Madea Halloween,10/20/2017,10/20/2017,http://www.nytimes.com/2017/10/20/movies/tyler-perrys-boo-2-a-madea-halloween-review.html,PG-13,0
Wait for Your Laugh,11/1/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/wait-for-your-laugh-review-gilbert-gottfried-rose-marie.html,,0
Wet Woman in the Wind,11/17/2017,11/16/2017,http://www.nytimes.com/2017/11/16/movies/wet-woman-in-the-wind-review.html,,0
Window Horses: The Poetic Persian Epiphany of Rosie Ming,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/window-horses-review.html,,1
Wonder,11/17/2017,11/16/2017,http://www.nytimes.com/2017/11/16/movies/wonder-review-jacob-tremblay-julia-roberts-owen-wilson.html,PG,1
Wonderstruck,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/wonderstruck-review-todd-haynes.html,PG,1
